Game ID,Date,Status,League ID,League Name,Home Team,Away Team,Home Score,Away Score,Periods
144547,2023-04-26T06:30:00+00:00,Finished,239,Asian Club Championship Women,Hip Hing W (Hkg),Diamond Food W (Tha),0,3,"{'first': {'home': 8, 'away': 25}, 'second': {'home': 12, 'away': 25}, 'third': {'home': 12, 'away': 25}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
144548,2023-04-26T09:30:00+00:00,Finished,239,Asian Club Championship Women,Khuvsgul Erchim W (Mon),Altai W (Kaz),0,3,"{'first': {'home': 12, 'away': 25}, 'second': {'home': 8, 'away': 25}, 'third': {'home': 11, 'away': 25}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
144549,2023-04-26T12:30:00+00:00,Finished,239,Asian Club Championship Women,Taipei Jinghua W (Tpe),Hisamitsu Springs W (Jpn),3,2,"{'first': {'home': 16, 'away': 25}, 'second': {'home': 25, 'away': 21}, 'third': {'home': 25, 'away': 22}, 'fourth': {'home': 24, 'away': 26}, 'fifth': {'home': 15, 'away': 8}}"
144550,2023-04-27T06:30:00+00:00,Finished,239,Asian Club Championship Women,Liaoning W (Chn),Altai W (Kaz),3,0,"{'first': {'home': 25, 'away': 19}, 'second': {'home': 25, 'away': 22}, 'third': {'home': 25, 'away': 21}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
144551,2023-04-27T09:30:00+00:00,Finished,239,Asian Club Championship Women,Hip Hing W (Hkg),Khuvsgul Erchim W (Mon),1,3,"{'first': {'home': 25, 'away': 22}, 'second': {'home': 9, 'away': 25}, 'third': {'home': 20, 'away': 25}, 'fourth': {'home': 17, 'away': 25}, 'fifth': {'home': None, 'away': None}}"
144552,2023-04-27T12:30:00+00:00,Finished,239,Asian Club Championship Women,Vietnam W (Asi),Hisamitsu Springs W (Jpn),3,1,"{'first': {'home': 25, 'away': 20}, 'second': {'home': 17, 'away': 25}, 'third': {'home': 25, 'away': 21}, 'fourth': {'home': 25, 'away': 15}, 'fifth': {'home': None, 'away': None}}"
144553,2023-04-28T06:30:00+00:00,Finished,239,Asian Club Championship Women,Diamond Food W (Tha),Khuvsgul Erchim W (Mon),3,0,"{'first': {'home': 25, 'away': 14}, 'second': {'home': 25, 'away': 16}, 'third': {'home': 25, 'away': 21}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
144554,2023-04-28T09:30:00+00:00,Finished,239,Asian Club Championship Women,Liaoning W (Chn),Hip Hing W (Hkg),3,0,"{'first': {'home': 25, 'away': 20}, 'second': {'home': 25, 'away': 8}, 'third': {'home': 25, 'away': 14}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
144555,2023-04-28T12:30:00+00:00,Finished,239,Asian Club Championship Women,Paykan Tehran W (Irn),Taipei Jinghua W (Tpe),1,3,"{'first': {'home': 14, 'away': 25}, 'second': {'home': 10, 'away': 25}, 'third': {'home': 25, 'away': 19}, 'fourth': {'home': 18, 'away': 25}, 'fifth': {'home': None, 'away': None}}"
144556,2023-04-29T03:30:00+00:00,Finished,239,Asian Club Championship Women,Altai W (Kaz),Hip Hing W (Hkg),3,0,"{'first': {'home': 25, 'away': 14}, 'second': {'home': 25, 'away': 8}, 'third': {'home': 25, 'away': 12}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
